Sulcus,Cluster,Group EFI (unscaled values),Subject EFI Variability (MAD),T10 (Emergence),T50 (Half-folded),ICC_reliability_average_depth,ICC_reliability_depth_variability,ICC_reliability_longest_branch,ICC_reliability_branch_span,ICC_reliability_fractal_dimension,ICC_reliability_EFI
Left Lateral Fissure,linear,-0.192178703,0.072535286,23.46623312,26.57028514,0.388217531,0.477259687,0.676592019,0.301098003,0.163672185,0.411644182
Right Lateral Fissure,linear,-0.19020914,0.065506101,23.50875438,26.6128064,0.690510908,0.609966961,0.406305667,0.591304001,0.413366471,0.510950151
Left Anterior Cingulate Sulcus,complex,0.132821266,0.287452077,27.96498249,30.30365183,0.918757815,0.809931871,0.627042276,0.616479951,0.213715415,0.475808727
Right Anterior Cingulate Sulcus,complex,0.098838942,0.311261304,28.07553777,30.43121561,0.937522045,0.636963142,0.355096174,0.771722262,0.550967177,0.758386386
Left Posterior Cingulate Sulcus,linear,-0.10525691,0.321062044,27.10605303,29.25762881,0.840039485,0.819403612,0.883146797,0.685879807,0.604979584,0.6322624
Right Posterior Cingulate Sulcus,linear,-0.060730717,0.375359207,27.20810405,29.4192096,0.799922676,0.819339466,0.812114093,0.843118185,0.470125585,0.714229771
Left Calcarine Fissure,linear,-0.170312704,0.206420418,24.84392196,27.6078039,0.833818325,0.929817915,0.527747652,0.703330858,0.707493828,0.847898462
Right Calcarine Fissure,linear,-0.189940784,0.114165485,24.73336668,27.70135068,0.789429517,0.868046435,0.156348112,0.251578638,0.060487517,-0.051837632
Left Collateral Fissure,complex,0.075330563,0.357809042,29.04502251,31.07753877,0.925056612,0.649889044,0.55221821,0.148684073,0.172956156,0.474569027
Right Collateral Fissure,linear,-0.138488629,0.173332233,28.95147574,31.16258129,0.902469395,0.724054544,0.530946315,0.32777545,0.492194736,0.824528006
Left Intra-Parietal Fissure,complex,0.096831058,0.362677622,28.14357179,30.31215608,0.726932175,0.851110011,0.419706899,0.754797939,0.700771517,0.855719657
Right Intra-Parietal Fissure,complex,0.048172532,0.395881997,28.20310155,30.44822411,0.820451831,0.68023473,0.831880471,0.713224902,0.708338857,0.671562179
Left Parieto-Occipital Fissure,linear,-0.19119433,0.068755867,25.75387694,29.35967984,0.948620408,0.937451385,0.892037715,0.641990884,0.699188952,0.472946128
Left Occipital Sulcus,complex,0.18157827,0.075602675,30.09954977,32.03001501,0.834314757,0.813657943,0.724739416,0.663082325,0.673715374,0.77532108
Right Occipital Sulcus,complex,0.189241741,0.061026659,30.08254127,31.91945973,0.77919548,0.580359262,0.629988426,0.770586748,0.382210321,0.779393326
Left Central Sulcus,linear,-0.186816887,0.065107706,26.17058529,27.16558279,0.849640433,0.827505641,0.921134233,0.615913671,0.545030561,0.486019429
Right Central Sulcus,linear,-0.192700956,0.057830912,26.14507254,27.11455728,0.869174616,0.78668112,0.925224584,0.914755518,0.563211512,0.796554708
Left Inferior Frontal Sulcus,complex,0.108780024,0.317612844,27.90545273,29.98049025,0.950315311,0.962404545,0.736834752,0.816433399,0.445146043,0.900475742
Right Inferior Frontal Sulcus,complex,0.132307005,0.214190115,27.75237619,29.92096048,0.741770388,0.80674086,0.838501333,0.874589149,0.630939617,0.759618721
Left Paracingulate Sulcus,complex,0.169644376,0.115214681,29.8104052,32.14057029,0.625350326,0.303739323,0.87607849,0.778050308,0.825018631,0.852509582
Right Paracingulate Sulcus,complex,0.171490335,0.102148847,29.64032016,31.8174087,0.772023348,0.475173623,0.57229387,0.659952884,0.748757607,0.597047564
Left Intermediate Frontal Sulcus,complex,0.172271655,0.136766618,29.2066033,31.61330665,0.67582308,0.802738347,0.749423895,0.777341418,0.720232522,0.865717538
Right Intermediate Frontal Sulcus,complex,0.161481299,0.211754883,29.04502251,31.3921961,0.784800027,0.57353862,0.877629732,0.664937902,0.773998731,0.627873994
Left Superior Frontal Sulcus,linear,-0.157570695,0.23144,29.07053527,30.72036018,0.939340358,0.886718395,0.885688345,0.900333233,0.539944179,0.843748097
Right Superior Frontal Sulcus,linear,-0.17711664,0.148077489,29.0110055,30.55027514,0.942535358,0.795696419,0.744985163,0.856887869,0.510925592,0.732357126
Left Occipital-Temporal Lateral Sulcus,complex,0.169437253,0.161971881,29.86143072,31.93646823,0.672771398,0.760545107,0.650583531,0.770059046,0.570735992,0.823855047
Right Occipital-Temporal Lateral Sulcus,complex,0.112093934,0.3407592,29.92946473,31.96198099,0.853621164,0.805362838,0.774039912,0.818173363,0.524055932,0.822672021
Left Orbitofrontal Sulcus,complex,0.19587231,0.061977564,33.52676338,35.15957979,0.809862508,0.757726136,0.680984449,0.792978171,0.492375335,0.372700205
Right Orbitofrontal Sulcus,complex,0.163280109,0.216710361,33.30565283,34.31765883,0.81990364,0.777409607,0.768086103,0.724433097,0.248967477,0.554493998
Left Medial Parietal Sulcus,complex,0.196206149,0.07400766,28.67933967,31.97898949,0.906107008,0.796562293,0.598599151,0.925373182,0.584144363,0.600710393
Right Medial Parietal Sulcus,complex,0.192267221,0.085916952,28.83241621,32.13206603,0.870826204,0.922929174,0.629643886,0.620269889,0.737604514,0.643039906
Left Pre-Central Sulcus,linear,-0.099360021,0.388551457,27.91395698,30.05702851,0.957873512,0.855307577,0.768880736,0.61899037,0.733484934,0.610398433
Right Pre-Central Sulcus,linear,-0.113298856,0.381045318,27.90545273,30.10805403,0.873128247,0.715601743,0.286400945,0.638667753,0.807703955,0.717367669
Left Post-Central Sulcus,linear,-0.059851437,0.473379143,27.33566783,29.52126063,0.817605044,0.7731168,0.714031808,0.513845508,0.63101008,0.53298363
Right Post-Central Sulcus,linear,-0.147113676,0.235101286,27.27613807,29.44472236,0.730623344,0.835670356,0.737920797,0.791344533,0.583002965,0.85037871
Left Inferior Temporal Sulcus,complex,0.183350877,0.084009999,29.4192096,32.44672336,0.877575931,0.564112702,0.878886649,0.845443986,0.654543596,0.904738968
Right Inferior Temporal Sulcus,complex,0.194418033,0.078918725,29.36818409,32.02151076,0.831924796,0.8400301,0.815446504,0.64890153,0.58263448,0.58667355
Left Superior Temporal Sulcus,linear,-0.172110091,0.134526425,27.48874437,29.23211606,0.872267178,0.663628524,0.894527938,0.704063668,0.108890361,0.755587777
Right Superior Temporal Sulcus,linear,-0.196906057,0.059461728,27.03801901,28.63681841,0.736696564,0.818049797,0.553862216,0.501577296,0.578575712,0.243191732
Right Parieto-Occipital Fissure,linear,-0.191615456,0.060846656,25.39669835,28.7983992,0.859802904,0.808818895,0.38953316,0.781461191,0.433136479,0.339414028